,id,nome,estado_sigla
0,1,Satubinha,MA
1,2,Leópolis,PR
2,3,Gramado,RS
3,4,Felixlândia,MG
4,5,Piranhas,AL
5,6,Cotia,SP
6,7,Sabino,SP
7,8,Rosário do Catete,SE
8,9,Anita Garibaldi,SC
9,10,São Martinho da Serra,RS
10,11,Junqueirópolis,SP
11,12,Carmésia,MG
12,13,Santa Rita do Pardo,MS
13,14,Rubiácea,SP
14,15,Mar de Espanha,MG
15,16,Pedra Lavrada,PB
16,17,Santa Clara do Sul,RS
17,18,Santana do Maranhão,MA
18,19,Araçoiaba da Serra,SP
19,20,Paripiranga,BA
20,21,Sapucaia,RJ
21,22,Pontes Gestal,SP
22,23,Salgado de São Félix,PB
23,24,Pracinha,SP
24,25,Curaçá,BA
25,26,Curral de Cima,PB
26,27,Rio Doce,MG
27,28,Japorã,MS
28,29,Canindé,CE
29,30,Paulo de Faria,SP
30,31,Frei Inocêncio,MG
31,32,Garça,SP
32,33,Novo Mundo,MT
33,34,Paranatama,PE
34,35,Itinga,MG
35,36,Jesuítas,PR
36,37,São José da Vitória,BA
37,38,Sete Quedas,MS
38,39,Vertente do Lério,PE
39,40,São Pedro da Cipa,MT
40,41,Ananás,TO
41,42,São Sebastião da Boa Vista,PA
42,43,Manaquiri,AM
43,44,Cambira,PR
44,45,Santo Inácio do Piauí,PI
45,46,Viana,ES
46,47,Imbaú,PR
47,48,Iraí de Minas,MG
48,49,Chapadinha,MA
49,50,Riacho Dos Machados,MG
50,51,Pinhalzinho,SC
51,52,Planalto da Serra,MT
52,53,São João do Jaguaribe,CE
53,54,Cacequi,RS
54,55,Cruzeiro do Oeste,PR
55,56,Santo Antônio do Itambé,MG
56,57,Sabará,MG
57,58,Angatuba,SP
58,59,Canguaretama,RN
59,60,Flórida,PR
60,61,Fátima,TO
61,62,Ipaumirim,CE
62,63,Santa Bárbara do Leste,MG
63,64,Dom Viçoso,MG
64,65,Lagoa do Piauí,PI
65,66,Lagoa da Canoa,AL
